"nome","resumo","coordenador"
"IMAGENS EM DESCOMPASSO","Em breve este conteúdo estará disponível.","Ana Luzia De Lima Cunha "
"CRIAÇÕES COLETIVAS NO ESTÚDIO DE ARTES SONORAS","Em breve este conteúdo estará disponível.","Ana Luzia De Lima Cunha "
"DIÁLOGOS ENTRE ARTE E NATUREZA","Em breve este conteúdo estará disponível.","Ana Tereza Prado Lopes "
"ERÉPOMTECA: A ARTE E O BRINCAR PARA A RE-EDUCAÇÃO DAS RELAÇÕES ÉTNICO-RACIAIS","Em breve este conteúdo estará disponível.","Ana Valéria De Figueiredo Da Costa "
"LEITURAS MULTIDIMENSIONAIS DIÁLOGOS IMAGÉTICOS NO CHÃO DA ESCOLA","Em breve este conteúdo estará disponível.","Ana Valéria De Figueiredo Da Costa "
"LABORATÓRIO DE MÍDIAS DIGITAIS - MIDLAB","Em breve este conteúdo estará disponível.","Antonio Jose Queiroga Ferreira "
"IDENTIDADE VISUAL - PERCURSOS NO ENSINO DE ARTE","Em breve este conteúdo estará disponível.","Christiane De Faria Pereira Arcuri "
"CORPO-AMBIENTE EM PERFORMANCE : PRÁTICAS ARTÍSTICAS E AÇÕES AMBIENTAIS","Em breve este conteúdo estará disponível.","Eloisa Brantes Bacellar Mendes "
"MEMÓRIAS E PRÁTICAS DO ENSINO DAS ARTES NO CAP UERJ: PRODUÇÃO DE MATERIAIS DIDÁTICOS","Em breve este conteúdo estará disponível.","Gianne Maria Montedônio Chagastelles "
"ABORDAGENS MEIOS E PROCEDIMENTOS NO ENSINO DAS ARTES VISUAIS","Em breve este conteúdo estará disponível.","Isabel Almeida Carneiro "
"PIBID ARTES UERJ","Em breve este conteúdo estará disponível.","Isabel Almeida Carneiro "
"O AUTORRETRATO COMO GÊNERO DE (AUTO)FORMAÇÃO","Em breve este conteúdo estará disponível.","Liliane Leroux "
"PROJETO IN SITU: CULTURA VISUAL E ENSINO DA ARTE NA ESCOLA E EM ESPAÇOS NÃO FORMAIS","Em breve este conteúdo estará disponível.","Renata De Oliveira Gesomino "
"MONITORIA DA DISCIPLINA DE CINEMA PROCESSOS E MODALIDADES E VÍDEO PROCESSOS E MODALIDADES","Em breve este conteúdo estará disponível.","Rodrigo Gueron "
"ATELIÊ DO INSTITUTO DE ARTES: GESTÃO E SUPERVISÃO.","Em breve este conteúdo estará disponível.","Rodrigo Gueron "
